filters
StandAloneHome
HomeOwn
Worker
Student
RHUser
SharedRHUser
AV_NotFamiliar
AV_Heardofit
AV_SomewhatFamiliar
AV_VeryFamiliar
AV_Rider
GradeSchool
HighSchool
SomeCollege
Bachelor
Graduate
HH_1
HH_2
HH_3
HH_4p
Age_18_30
Age_31_40
Age_41_50
Age_51_60
Age_61_70
Age_71p
INC_0_25k
INC_25_50k
INC_50_100k
INC_100_150k
INC_150k_plus
White
NonWhite
